"TOA5","CR6","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:40:00.05",107597,2,38,4.92,-0.09,-0.35,34.66,4.920823
"2025-09-23 16:40:00.1",107598,3,0,5.38,0.23,-0.13,34.69,5.384914
"2025-09-23 16:40:00.15",107599,4,0,5.71,0.23,-0.54,34.66,5.71463
"2025-09-23 16:40:00.2",107600,5,0,5.64,0.16,-0.62,34.71,5.642269
"2025-09-23 16:40:00.25",107601,6,1,5.45,0.07,-0.23,34.69,5.450449
"2025-09-23 16:40:00.3",107602,1,10,5.66,0.11,0.24,34.67,5.661069
"2025-09-23 16:40:00.35",107603,2,38,5.96,0.21,0.1,34.71,5.963698
"2025-09-23 16:40:00.4",107604,3,0,5.9,0.25,-0.04,34.7,5.905294
"2025-09-23 16:40:00.45",107605,4,0,5.87,0,-0.04,34.7,5.87
"2025-09-23 16:40:00.5",107606,5,0,5.29,0.17,0.16,34.69,5.292731
"2025-09-23 16:40:00.55",107607,6,1,5.99,-0.18,0.24,34.7,5.992703
"2025-09-23 16:40:00.6",107608,1,10,6.39,-0.11,0.37,34.67,6.390947
"2025-09-23 16:40:00.65",107609,2,38,5.58,-0.5,-0.08,34.68,5.602356
"2025-09-23 16:40:00.7",107610,3,0,5.51,0.29,0.07,34.69,5.517626
"2025-09-23 16:40:00.75",107611,4,0,5.62,-0.24,0.06,34.69,5.625122
"2025-09-23 16:40:00.8",107612,5,0,6,-0.47,0.26,34.69,6.01838
"2025-09-23 16:40:00.85",107613,6,1,5.47,-0.14,0.14,34.69,5.471791
"2025-09-23 16:40:00.9",107614,1,10,5.09,-0.09,-0.11,34.71,5.090796
"2025-09-23 16:40:00.95",107615,2,38,4.97,0.1,0.18,34.69,4.971005
"2025-09-23 16:40:01",107616,3,0,4.67,0.69,-0.16,34.7,4.720699
"2025-09-23 16:40:01.05",107617,4,0,4.45,-0.39,-0.36,34.66,4.467057
"2025-09-23 16:40:01.1",107618,5,0,4.88,-0.42,-0.4,34.69,4.89804
"2025-09-23 16:40:01.15",107619,6,1,4.72,0.84,-0.6,34.65,4.794163
"2025-09-23 16:40:01.2",107620,1,10,4.85,-0.4,-0.43,34.7,4.866467
"2025-09-23 16:40:01.25",107621,2,38,5.61,-0.41,-0.12,34.68,5.624962
"2025-09-23 16:40:01.3",107622,3,0,5.7,-0.17,-0.3,34.71,5.702534
"2025-09-23 16:40:01.35",107623,4,0,5.6,0.38,-0.45,34.69,5.612878
"2025-09-23 16:40:01.4",107624,5,0,5.6,0.13,-0.03,34.69,5.601509
"2025-09-23 16:40:01.45",107625,6,1,5.57,-0.49,-0.21,34.68,5.591512
"2025-09-23 16:40:01.5",107626,1,10,5.32,-0.15,-0.06,34.68,5.322114
"2025-09-23 16:40:01.55",107627,2,38,5.56,0.21,-0.25,34.69,5.563964
"2025-09-23 16:40:01.6",107628,3,0,5.69,-0.11,0.07,34.68,5.691063
"2025-09-23 16:40:01.65",107629,4,0,5.8,-0.15,0.02,34.69,5.801939
"2025-09-23 16:40:01.7",107630,5,0,5.54,0.13,-0.09,34.69,5.541525
"2025-09-23 16:40:01.75",107631,6,1,5.31,0.13,-0.2,34.68,5.311591
"2025-09-23 16:40:01.8",107632,1,10,5.45,-0.09,-0.12,34.68,5.450743
"2025-09-23 16:40:01.85",107633,2,38,5.99,-0.18,-0.05,34.71,5.992703
"2025-09-23 16:40:01.9",107634,3,0,5.78,-0.14,-0.14,34.69,5.781695
"2025-09-23 16:40:01.95",107635,4,0,5.65,0.04,-0.16,34.68,5.650142
"2025-09-23 16:40:02",107636,5,0,5.82,-0.2,0.05,34.68,5.823436
"2025-09-23 16:40:02.05",107637,6,1,5.84,-0.11,0.27,34.72,5.841036
"2025-09-23 16:40:02.1",107638,1,10,5.91,-0.12,0.06,34.7,5.911218
"2025-09-23 16:40:02.15",107639,2,38,6.13,-0.14,-0.14,34.72,6.131598
"2025-09-23 16:40:02.2",107640,3,0,5.61,0.35,-0.06,34.69,5.620907
"2025-09-23 16:40:02.25",107641,4,0,5.43,-0.12,0.13,34.69,5.431325
"2025-09-23 16:40:02.3",107642,5,0,5.47,0.23,0.03,34.71,5.474833
"2025-09-23 16:40:02.35",107643,6,1,5.7,-0.12,-0.24,34.67,5.701263
"2025-09-23 16:40:02.4",107644,1,10,5.5,0.02,0.04,34.7,5.500036
"2025-09-23 16:40:02.45",107645,2,38,5.53,0.27,0.12,34.71,5.536588
"2025-09-23 16:40:02.5",107646,3,0,5.48,0.45,-0.09,34.67,5.498445
"2025-09-23 16:40:02.55",107647,4,0,5.51,-0.06,-0.47,34.67,5.510327
"2025-09-23 16:40:02.6",107648,5,0,6,-0.31,-0.12,34.7,6.008003
"2025-09-23 16:40:02.65",107649,6,1,5.74,0.23,-0.06,34.69,5.744606
"2025-09-23 16:40:02.7",107650,1,10,5.95,-0.26,-0.06,34.7,5.955678
"2025-09-23 16:40:02.75",107651,2,38,5.39,0.14,-0.19,34.7,5.391818
"2025-09-23 16:40:02.8",107652,3,0,5.48,0.11,0.03,34.7,5.481104
"2025-09-23 16:40:02.85",107653,4,0,5.73,0,-0.29,34.69,5.73
"2025-09-23 16:40:02.9",107654,5,0,6.46,-0.46,-0.16,34.69,6.476357
"2025-09-23 16:40:02.95",107655,6,1,6.22,0,-0.21,34.69,6.22
"2025-09-23 16:40:03",107656,1,10,5.78,0.22,-0.19,34.67,5.784185
"2025-09-23 16:40:03.05",107657,2,38,5.63,0.14,-0.18,34.69,5.631741
"2025-09-23 16:40:03.1",107658,3,0,5.63,-0.15,0.08,34.66,5.631998
"2025-09-23 16:40:03.15",107659,4,0,5.76,-0.26,0.01,34.7,5.765865
"2025-09-23 16:40:03.2",107660,5,0,5.26,-0.14,-0.22,34.67,5.261863
"2025-09-23 16:40:03.25",107661,6,1,5.06,0.27,-0.31,34.68,5.067198
"2025-09-23 16:40:03.3",107662,1,10,5.66,-0.12,-0.05,34.69,5.661272
"2025-09-23 16:40:03.35",107663,2,38,5.78,-0.13,0.05,34.67,5.781462
"2025-09-23 16:40:03.4",107664,3,0,5.68,0.27,0.28,34.68,5.686413
"2025-09-23 16:40:03.45",107665,4,0,5.77,0.33,-0.13,34.68,5.779429
"2025-09-23 16:40:03.5",107666,5,0,6.01,-0.47,-0.32,34.72,6.02835
"2025-09-23 16:40:03.55",107667,6,1,5.73,0.16,-0.05,34.69,5.732234
"2025-09-23 16:40:03.6",107668,1,10,5.94,-0.25,0.04,34.69,5.945259
"2025-09-23 16:40:03.65",107669,2,38,5.86,-0.15,0.24,34.67,5.86192
"2025-09-23 16:40:03.7",107670,3,0,6.12,-0.8,0.05,34.72,6.172066
"2025-09-23 16:40:03.75",107671,4,0,5.83,-0.7,-0.58,34.72,5.871874
"2025-09-23 16:40:03.8",107672,5,0,5.45,-0.4,-0.64,34.69,5.464659
"2025-09-23 16:40:03.85",107673,6,1,5.38,0.52,-0.25,34.68,5.405072
"2025-09-23 16:40:03.9",107674,1,10,5.39,0.38,0.09,34.71,5.403378
"2025-09-23 16:40:03.95",107675,2,38,5.97,-0.15,0.44,34.7,5.971884
"2025-09-23 16:40:04",107676,3,0,5.54,0.04,0.31,34.7,5.540144
"2025-09-23 16:40:04.05",107677,4,0,5.15,-0.18,-0.16,34.68,5.153145
"2025-09-23 16:40:04.1",107678,5,0,5.06,0,-0.17,34.68,5.06
"2025-09-23 16:40:04.15",107679,6,1,5.08,0.39,-0.47,34.66,5.094948
"2025-09-23 16:40:04.2",107680,1,10,5.04,-0.43,-0.29,34.66,5.05831
"2025-09-23 16:40:04.25",107681,2,38,5.82,-0.44,-0.18,34.71,5.836609
"2025-09-23 16:40:04.3",107682,3,0,5.23,-0.27,-0.75,34.66,5.236965
"2025-09-23 16:40:04.35",107683,4,0,5.63,0.25,-0.24,34.7,5.635548
"2025-09-23 16:40:04.4",107684,5,0,5.6,0.05,-0.03,34.69,5.600223
"2025-09-23 16:40:04.45",107685,6,1,5.8,-0.11,-0.02,34.7,5.801044
"2025-09-23 16:40:04.5",107686,1,10,5.91,-0.08,-0.01,34.68,5.910541
"2025-09-23 16:40:04.55",107687,2,38,5.58,0.34,0.26,34.7,5.590349
"2025-09-23 16:40:04.6",107688,3,0,5.59,0.17,-0.03,34.69,5.592585
"2025-09-23 16:40:04.65",107689,4,0,5.66,0.21,0.09,34.71,5.663895
"2025-09-23 16:40:04.7",107690,5,0,5.77,0.17,-0.36,34.69,5.772504
"2025-09-23 16:40:04.75",107691,6,1,5.83,0.32,-0.39,34.68,5.838776
"2025-09-23 16:40:04.8",107692,1,10,5.49,0.26,0.07,34.68,5.496153
"2025-09-23 16:40:04.85",107693,2,38,5.46,-0.01,0.07,34.71,5.460009
"2025-09-23 16:40:04.9",107694,3,0,5.78,0.35,-0.12,34.7,5.790587
"2025-09-23 16:40:04.95",107695,4,0,5.75,0.24,-0.21,34.67,5.755006
"2025-09-23 16:40:05",107696,5,0,6.04,0.1,-0.09,34.7,6.040827
"2025-09-23 16:40:05.05",107697,6,1,6.43,-0.19,-0.22,34.71,6.432806
"2025-09-23 16:40:05.1",107698,1,10,5.8,0.14,-0.13,34.69,5.80169
"2025-09-23 16:40:05.15",107699,2,38,5.46,0.18,0.11,34.7,5.462966
"2025-09-23 16:40:05.2",107700,3,0,5.68,0.2,0.07,34.7,5.68352
"2025-09-23 16:40:05.25",107701,4,0,5.85,-0.52,-0.25,34.68,5.873066
"2025-09-23 16:40:05.3",107702,5,0,5.69,-0.12,0.24,34.69,5.691266
"2025-09-23 16:40:05.35",107703,6,1,5.37,-0.14,0.19,34.69,5.371825
"2025-09-23 16:40:05.4",107704,1,10,5.44,0.35,0.32,34.66,5.451248
"2025-09-23 16:40:05.45",107705,2,38,5.42,-0.24,-0.14,34.71,5.425311
"2025-09-23 16:40:05.5",107706,3,0,5.16,-1.06,0.22,34.67,5.267751
"2025-09-23 16:40:05.55",107707,4,0,4.85,-1.23,-0.32,34.68,5.003539
"2025-09-23 16:40:05.6",107708,5,0,4.34,-0.63,-0.87,34.67,4.385488
"2025-09-23 16:40:05.65",107709,6,1,4.16,-0.54,-0.4,34.65,4.194901
"2025-09-23 16:40:05.7",107710,1,10,4.65,-0.22,-0.37,34.67,4.655201
"2025-09-23 16:40:05.75",107711,2,38,4.95,0.35,-0.37,34.69,4.962358
"2025-09-23 16:40:05.8",107712,3,0,5.04,0.17,-0.12,34.67,5.042866
"2025-09-23 16:40:05.85",107713,4,0,5.41,0.57,0.13,34.69,5.439945
"2025-09-23 16:40:05.9",107714,5,0,5.3,0.3,0.18,34.7,5.308484
"2025-09-23 16:40:05.95",107715,6,1,4.52,0.42,-0.13,34.67,4.539471
"2025-09-23 16:40:06",107716,1,10,4.35,0.1,-0.3,34.69,4.351149
"2025-09-23 16:40:06.05",107717,2,38,4.43,0.33,-0.64,34.68,4.442274
"2025-09-23 16:40:06.1",107718,3,0,5.09,0.48,0.14,34.68,5.112583
"2025-09-23 16:40:06.15",107719,4,0,5.05,-0.17,0.21,34.69,5.052861
"2025-09-23 16:40:06.2",107720,5,0,5.09,-0.41,-0.86,34.67,5.106486
"2025-09-23 16:40:06.25",107721,6,1,5.32,0.27,-0.39,34.7,5.326848
"2025-09-23 16:40:06.3",107722,1,10,5.54,-0.1,-0.19,34.69,5.540902
"2025-09-23 16:40:06.35",107723,2,38,5.14,0.17,-0.08,34.69,5.14281
"2025-09-23 16:40:06.4",107724,3,0,5.06,0.3,-0.1,34.69,5.068885
"2025-09-23 16:40:06.45",107725,4,0,5.26,0.01,0.15,34.68,5.26001
"2025-09-23 16:40:06.5",107726,5,0,5.97,0.04,0.09,34.7,5.970133
"2025-09-23 16:40:06.55",107727,6,1,5.32,0.4,0.04,34.7,5.335017
"2025-09-23 16:40:06.6",107728,1,10,5.83,-0.9,-0.54,34.72,5.899059
"2025-09-23 16:40:06.65",107729,2,38,5.46,0.23,0.01,34.69,5.464842
"2025-09-23 16:40:06.7",107730,3,0,5.51,0.19,-0.15,34.69,5.513275
"2025-09-23 16:40:06.75",107731,4,0,5.41,0.39,-0.25,34.71,5.424039
"2025-09-23 16:40:06.8",107732,5,0,5.17,0.18,0.08,34.69,5.173132
"2025-09-23 16:40:06.85",107733,6,1,5.1,0.18,0.07,34.69,5.103175
"2025-09-23 16:40:06.9",107734,1,10,5.05,0.46,-0.39,34.71,5.070908
"2025-09-23 16:40:06.95",107735,2,38,4.64,0.47,-0.7,34.66,4.663743
"2025-09-23 16:40:07",107736,3,0,5.03,0.05,-0.05,34.7,5.030249
"2025-09-23 16:40:07.05",107737,4,0,5.94,0.43,0.11,34.71,5.955544
"2025-09-23 16:40:07.1",107738,5,0,5.7,0.4,0.21,34.66,5.714018
"2025-09-23 16:40:07.15",107739,6,1,5.53,-0.11,0.15,34.71,5.531094
"2025-09-23 16:40:07.2",107740,1,10,5.33,-0.27,-0.72,34.71,5.336834
"2025-09-23 16:40:07.25",107741,2,38,5.79,0.24,-0.34,34.69,5.794972
"2025-09-23 16:40:07.3",107742,3,0,5.93,-0.11,-0.12,34.71,5.93102
"2025-09-23 16:40:07.35",107743,4,0,5.72,0,-0.12,34.68,5.72
"2025-09-23 16:40:07.4",107744,5,0,5.33,-0.11,0.15,34.7,5.331135
"2025-09-23 16:40:07.45",107745,6,1,5.51,-0.19,0.45,34.67,5.513275
"2025-09-23 16:40:07.5",107746,1,10,5.96,0.45,0.12,34.7,5.976964
"2025-09-23 16:40:07.55",107747,2,38,5.92,-0.43,0.12,34.7,5.935596
"2025-09-23 16:40:07.6",107748,3,0,5.72,-0.43,-0.12,34.69,5.73614
"2025-09-23 16:40:07.65",107749,4,0,5.25,0.03,0.21,34.67,5.250086
