X_mm,Y_mm
210.000,-60.000
210.000,-30.000
210.000,0.000
210.000,30.000
210.000,60.000
240.000,-60.000
240.000,-30.000
240.000,0.000
240.000,30.000
240.000,60.000
270.000,-60.000
270.000,-30.000
270.000,0.000
270.000,30.000
270.000,60.000
300.000,-60.000
300.000,-30.000
300.000,0.000
300.000,30.000
300.000,60.000
330.000,-60.000
330.000,-30.000
330.000,0.000
330.000,30.000
330.000,60.000
360.000,-60.000
360.000,-30.000
360.000,0.000
360.000,30.000
360.000,60.000
390.000,-60.000
390.000,-30.000
390.000,0.000
390.000,30.000
390.000,60.000
